Stage,StateVarName,Weight
258,inflow:2,1.0
259,inflow,1.0
259,inflow:1,1.0
259,inflow:2,1.0
260,inflow,1.0
260,inflow:1,1.0
260,inflow:2,1.0
261,inflow,1.0
261,inflow:1,1.0
261,inflow:2,1.0
262,inflow,1.0
262,inflow:1,1.0
262,inflow:2,1.0
263,inflow,1.0
263,inflow:1,1.0
263,inflow:2,1.0
264,inflow,1.0
264,inflow:1,1.0
264,inflow:2,1.0
265,inflow,1.0
265,inflow:1,1.0
265,inflow:2,1.0
266,inflow,1.0
266,inflow:1,1.0
266,inflow:2,1.0
267,inflow,1.0
267,inflow:1,1.0
267,inflow:2,1.0
268,inflow,1.0
268,inflow:1,1.0
268,inflow:2,1.0
269,inflow,1.0
269,inflow:1,1.0
269,inflow:2,1.0
270,inflow,1.0
270,inflow:1,1.0
270,inflow:2,1.0
271,inflow,1.0
271,inflow:1,1.0
271,inflow:2,1.0
272,inflow,1.0
272,inflow:1,1.0
272,inflow:2,1.0
273,inflow,1.0
273,inflow:1,1.0
273,inflow:2,1.0
274,inflow,1.0
274,inflow:1,1.0
274,inflow:2,1.0
275,inflow,1.0
275,inflow:1,1.0
275,inflow:2,1.0
276,inflow,1.0
276,inflow:1,1.0
276,inflow:2,1.0
277,inflow,1.0
277,inflow:1,1.0
277,inflow:2,1.0
278,inflow,1.0
278,inflow:1,1.0
278,inflow:2,1.0
279,inflow,1.0
279,inflow:1,1.0
279,inflow:2,1.0
280,inflow,1.0
280,inflow:1,1.0
280,inflow:2,1.0
281,inflow,1.0
281,inflow:1,1.0
281,inflow:2,1.0
282,inflow,1.0
282,inflow:1,1.0
282,inflow:2,1.0
283,inflow,1.0
283,inflow:1,1.0
283,inflow:2,1.0
284,inflow,1.0
284,inflow:1,1.0
284,inflow:2,1.0
285,inflow,1.0
285,inflow:1,1.0
285,inflow:2,1.0
286,inflow,1.0
286,inflow:1,1.0
286,inflow:2,1.0
287,inflow,1.0
287,inflow:1,1.0
287,inflow:2,1.0
288,inflow,1.0
288,inflow:1,1.0
288,inflow:2,1.0
289,inflow,1.0
289,inflow:1,1.0
289,inflow:2,1.0
290,inflow,1.0
290,inflow:1,1.0
290,inflow:2,1.0
291,inflow,1.0
291,inflow:1,1.0
291,inflow:2,1.0
292,inflow,1.0
292,inflow:1,1.0
292,inflow:2,1.0
293,inflow,1.0
293,inflow:1,1.0
293,inflow:2,1.0
294,inflow,1.0
294,inflow:1,1.0
294,inflow:2,1.0
295,inflow,1.0
295,inflow:1,1.0
295,inflow:2,1.0
296,inflow,1.0
296,inflow:1,1.0
296,inflow:2,1.0
297,inflow,1.0
297,inflow:1,1.0
297,inflow:2,1.0
298,inflow,1.0
298,inflow:1,1.0
298,inflow:2,1.0
299,inflow,1.0
299,inflow:1,1.0
299,inflow:2,1.0
300,inflow,1.0
300,inflow:1,1.0
300,inflow:2,1.0
301,inflow,1.0
301,inflow:1,1.0
301,inflow:2,1.0
302,inflow,1.0
302,inflow:1,1.0
302,inflow:2,1.0
303,inflow,1.0
303,inflow:1,1.0
303,inflow:2,1.0
304,inflow,1.0
304,inflow:1,1.0
304,inflow:2,1.0
305,inflow,1.0
305,inflow:1,1.0
305,inflow:2,1.0
306,inflow,1.0
306,inflow:1,1.0
306,inflow:2,1.0
307,inflow,1.0
307,inflow:1,1.0
307,inflow:2,1.0
308,inflow,1.0
308,inflow:1,1.0
308,inflow:2,1.0
309,inflow,1.0
309,inflow:1,1.0
309,inflow:2,1.0
310,inflow,1.0
310,inflow:1,1.0
310,inflow:2,1.0
311,inflow,1.0
311,inflow:1,1.0
311,inflow:2,1.0
312,inflow,1.0
312,inflow:1,1.0
312,inflow:2,1.0
313,inflow,1.0
313,inflow:1,1.0
313,inflow:2,1.0
314,inflow,1.0
314,inflow:1,1.0
314,inflow:2,1.0
315,inflow,1.0
315,inflow:1,1.0
315,inflow:2,1.0
316,inflow,1.0
316,inflow:1,1.0
316,inflow:2,1.0
317,inflow,1.0
317,inflow:1,1.0
317,inflow:2,1.0
318,inflow,1.0
318,inflow:1,1.0
318,inflow:2,1.0
319,inflow,1.0
319,inflow:1,1.0
319,inflow:2,1.0
320,inflow,1.0
320,inflow:1,1.0
320,inflow:2,1.0
321,inflow,1.0
321,inflow:1,1.0
321,inflow:2,1.0
322,inflow,1.0
322,inflow:1,1.0
322,inflow:2,1.0
323,inflow,1.0
323,inflow:1,1.0
323,inflow:2,1.0
324,inflow,1.0
324,inflow:1,1.0
324,inflow:2,1.0
325,inflow,1.0
325,inflow:1,1.0
325,inflow:2,1.0
326,inflow,1.0
326,inflow:1,1.0
326,inflow:2,1.0
327,inflow,1.0
327,inflow:1,1.0
327,inflow:2,1.0
328,inflow,1.0
328,inflow:1,1.0
328,inflow:2,1.0
329,inflow,1.0
329,inflow:1,1.0
329,inflow:2,1.0
330,inflow,1.0
330,inflow:1,1.0
330,inflow:2,1.0
331,inflow,1.0
331,inflow:1,1.0
331,inflow:2,1.0
332,inflow,1.0
332,inflow:1,1.0
332,inflow:2,1.0
333,inflow,1.0
333,inflow:1,1.0
333,inflow:2,1.0
334,inflow,1.0
334,inflow:1,1.0
334,inflow:2,1.0
335,inflow,1.0
335,inflow:1,1.0
335,inflow:2,1.0
336,inflow,1.0
336,inflow:1,1.0
336,inflow:2,1.0
337,inflow,1.0
337,inflow:1,1.0
337,inflow:2,1.0
338,inflow,1.0
338,inflow:1,1.0
338,inflow:2,1.0
339,inflow,1.0
339,inflow:1,1.0
339,inflow:2,1.0
340,inflow,1.0
340,inflow:1,1.0
340,inflow:2,1.0
341,inflow,1.0
341,inflow:1,1.0
341,inflow:2,1.0
342,inflow,1.0
342,inflow:1,1.0
342,inflow:2,1.0
343,inflow,1.0
343,inflow:1,1.0
343,inflow:2,1.0
344,inflow,1.0
344,inflow:1,1.0
344,inflow:2,1.0
345,inflow,1.0
345,inflow:1,1.0
345,inflow:2,1.0
346,inflow,1.0
346,inflow:1,1.0
346,inflow:2,1.0
347,inflow,1.0
347,inflow:1,1.0
347,inflow:2,1.0
348,inflow,1.0
348,inflow:1,1.0
348,inflow:2,1.0
349,inflow,1.0
349,inflow:1,1.0
349,inflow:2,1.0
350,inflow,1.0
350,inflow:1,1.0
350,inflow:2,1.0
351,inflow,1.0
351,inflow:1,1.0
351,inflow:2,1.0
352,inflow,1.0
352,inflow:1,1.0
352,inflow:2,1.0
353,inflow,1.0
353,inflow:1,1.0
353,inflow:2,1.0
354,inflow,1.0
354,inflow:1,1.0
354,inflow:2,1.0
355,inflow,1.0
355,inflow:1,1.0
355,inflow:2,1.0
356,inflow,1.0
356,inflow:1,1.0
356,inflow:2,1.0
357,inflow,1.0
357,inflow:1,1.0
357,inflow:2,1.0
358,inflow,1.0
358,inflow:1,1.0
358,inflow:2,1.0
359,inflow,1.0
359,inflow:1,1.0
359,inflow:2,1.0
360,inflow,1.0
360,inflow:1,1.0
360,inflow:2,1.0
361,inflow,1.0
361,inflow:1,1.0
361,inflow:2,1.0
362,inflow,1.0
362,inflow:1,1.0
362,inflow:2,1.0
363,inflow,1.0
363,inflow:1,1.0
363,inflow:2,1.0
364,inflow,1.0
364,inflow:1,1.0
364,inflow:2,1.0
365,inflow,1.0
365,inflow:1,1.0
365,inflow:2,1.0
